,index,recommend,content,datetime
30,31,True,[h1] 디자의 게임리뷰 [/h1] [code] 해적게임중 1위이다. 허나 이 게임은 누가 알려주지 않는 이상 어떻게 플레이 하는지 어려우며 워낙 고인물이 많아서 약탈 당하기 쉽상이다. 그러나 알면 다시 하고 싶은 갓겜이다. [/code] [b] [ 난이도 ] [/b] 🔲 매우 쉬움 🔲 쉬움 🔲 보통 🔲 어려움 ✅ 매우 어려움 [b] [ 그래픽 ] [/b] 🔲 매우 나쁨 🔲 나쁨 🔲 보통 ✅ 좋음 🔲 매우 좋음 🔲 그래픽에 사람을 갈아넣음 [b] [ 음악 ] [/b] 🔲 나쁨 🔲 평범함 🔲 좋음 ✅ 귀가 정화됨 [b] [ 스토리 ] [/b] 🔲 이 게임은 스토리라는게 없음 🔲 특정 층을 노린 스토리임 🔲 스토리는 안좋은 편임 🔲 평범한 스토리임 🔲 스토리가 탄탄하고 잘쓰여짐 ✅ 끝까지 하고 눈물을 흘림 [b] [ 가격 ] [/b] 🔲 공짜 🔲 이정도면 거저임 🔲 쌈 ✅ 제값임 🔲 비쌈 🔲 돈낭비 [b] [ 요구사양 ] [/b] 🔲 저사양 🔲 평균 ✅ 고사양 [b] [ 플레이타임 ] [/b] 🔲 매우짧음 (0 - 3 시간) ✅ 짧음 (3 - 15 시간) 🔲 보통 (15-50 시간) 🔲 김 (50-90 시간) 🔲 매우 김 (90시간 이상) 🔲 시간제한이 없음 [b] [ 재미 ] [/b] 🔲 재미없음 🔲 그럭저럭 재미있음 🔲 재미있음 ✅ 매우 재미있음 [b] [ 재탕성 ] [/b] 🔲 딱 한번 할정도임 ✅ 몇달 후에 다시 할만함 🔲 몇년 후에 다시 할만함 🔲 언제든 다시해도 재밌을듯 함 [b] [ 최종적으로 살만 한가? ] [/b] 🔲 과거로 돌아가면 안샀음 ✅ 세일을 기다림 🔲 과거로 돌아가도 정가로 삼 🔲 무료일 경우 체크,2025-05-07 06:57:34
31,32,True,배멀미 느껴짐 하지만 중국인들과 맞짱하나만은 GOAT,2025-05-05 11:46:29
32,33,True,일딴 재밌음 혼자해도 나름 재밌음 근데 친구들모아서 컨셉질하면서 겜하면 다섯 배로 재밌음 유일한 단점은 배멀미가 난다는 점이다. (캐릭터도 쫌 못생김 근데 이건 웃음벨이라 걍 그러려니하는중),2025-05-05 08:15:56
33,34,True,바다를 이만큼 멋지게 표한한 게임이 또 있을까?,2025-05-01 14:47:06
34,35,True,갓겜인가요?,2025-05-01 12:49:11
35,36,True,배에 타있는 사람들은 모두 죽이고 보물을 겁탈하는 게임,2025-04-30 16:36:05
37,38,True,성민아 같이하자 나는 널 믿는다,2025-04-26 09:21:07
38,39,True,왜 자꾸 팔려고만 하면 귀신같이 알고 쳐 나타나는거야 ㅅ1ㅂ롬들아,2025-04-26 08:56:58
39,40,True,"XBOX에 로그인하기까지 4시간이 걸렸고, 튜토리얼을 끝내는 데는 1시간이, 그리고 내 배가 어떤 미친 썩은물한테 침몰되기까지는 30분도 채 걸리지 않았다.",2025-04-26 06:59:18
40,41,True,친구들이랑 하면 걍 둥둥 떠다녀도 재밌음. 근데 ㄹㅇ 멀미할수도 있음. 친구중 한명 실시간으로 멀미함,2025-04-25 16:38:35
41,42,True,해적질은 낭만이다,2025-04-24 09:13:40
42,43,True,낭만있다. 고인물들 만나면 도망가야한다. 그 땐 낭만이고 뭐고 없다.,2025-04-22 10:04:51
43,44,True,핵쟁이만 잡으면 정말 재밌음 ㅎㅎ,2025-04-22 06:40:08
44,45,True,겜은 재미있는데 3d멀미때문에 환불함,2025-04-21 11:31:01
45,46,True,저기 다른 해골선이다!!! 이건또 뭐야!!! 상어다!!!! 끼아앙아아아ㅏㅏ아아,2025-04-20 05:29:32
46,47,True,재미있는 것 같긴 한데 전투가 너무 어려웠어요...포탄 쏘는 게 너무 어려워... 나도 재밌게 하고 싶은데 몬가 몬가임 ㅠㅠ,2025-04-06 19:23:00
47,48,True,맵이 엄청 커서 다 가보려면 몇년은 더 해야할듯요 ㅋㅋ,2025-03-30 17:22:33
48,49,True,ㅈㄴ 재밌음 ㅇㅇ 고민하지마셈,2025-03-29 16:01:30
49,50,True,파도를 헤치고 죽음이 나타나리니!,2025-03-26 19:40:57
50,51,False,내 스타일이 아니다 재미가 없다 난.. 왜들 그렇게 재밋다고 하는 지 모르겠네,2025-03-26 14:13:34
51,52,True,"초반은 정말 재밌는데, 플레이 이틀째부터 점점 목적성이 없어지고 할 게 없어짐. 옷도 돈 벌어서 산다기 보단 현질 옷들이 훨씬 퀄리티 좋아서 굳이 의미없고, 무기도 그래봐야 스킨 사는 거라서 크게 의미없음. 돈을 왜 벌고 있는지 목적이 사라져서 지루해짐. 사당이라는 던전같은게 있는데 거기나 한 번씩 가보면 보물찾기 탐험하는 느낌들어서 재밌음, 거기 갔다오면 ㄹㅇ 끝인듯. 친한 친구들이나 해적놀이 좋아하는 애들 데리고 노가리까면서 다른 배랑 싸우기하면 또 재밌게 즐길 수 있긴 할듯.",2025-03-25 01:56:27
52,53,True,바다 내음 짙은 게임,2025-03-21 13:43:26
53,54,True,낭만도 있고 재밌음,2025-03-20 17:13:11
54,55,True,재밌긴한데 조금 루즈할수도있고 뭘해야할지모르겟는 느낌도 들어요 그래도 추천 시간여유 있는사람끼리 모여서하면 더재밌음,2025-03-19 18:59:37
56,57,True,너무 재미있고 퀄리티도 좋아서게임하기 재미있다,2025-03-18 15:02:54
57,58,True,초반에 섬찾아다니는건 재밌어요 그 뒤로는 할게 없..,2025-03-18 11:30:06
58,59,True,루피 극한직업,2025-03-17 13:33:14
59,60,False,ai뿐이라 재미가 급도로 떨어짐..,2025-03-12 11:26:52
60,61,False,전형적인 피라미드게임 선량한 시민은 물고기로 하루 먹고 하루사는데 고인물들이 대포들고 오면 오늘하루 공치는 공수래 공수거 게임 똠냥꿍 갰,2025-03-10 16:50:05
61,62,True,낭만 그 잡채 + 캐리비안의 해적을 재밌게 본 입장에서 스토리가 아주 잘 구현되서 재밌음!,2025-03-04 15:07:56
62,63,True,게임이 많이 맛있어요 9점,2025-03-02 09:02:29
63,64,False,블루투스랑 오디오 버그 해결하라고 씨발 게임은 ㅈㄴ재밌는데 자잘한거에서 ㅈ같냐,2025-03-01 09:41:20
64,65,True,sadasdsadsadsad,2025-03-01 07:11:11
65,66,True,김예림개새끼야하자해서샀잖아김예림개새끼야하자해서샀잖아김예림개새끼야하자해서샀잖아김예림개새끼야하자해서샀잖아김예림개새끼야하자해서샀잖아김예림개새끼야하자해서샀잖아김예림개새끼야하자해서샀잖아김예림개새끼야하자해서샀잖아김예림개새끼야하자해서샀잖아김예림개새끼야하자해서샀잖아김예림개새끼야하자해서샀잖아김예림개새끼야하자해서샀잖아김예림개새끼야하자해서샀잖아김예림개새끼야하자해서샀잖아김예림개새끼야하자해서샀잖아김예림개새끼야하자해서샀잖아김예림개새끼야하자해서샀잖아김예림개새끼야하자해서샀잖아김예림개새끼야하자해서샀잖아김예림개새끼야하자해서샀잖아김예림개새끼야하자해서샀잖아,2025-02-28 13:18:29
66,67,True,그냥 조오오오오온나 재미있으니까 해보셈.,2025-02-28 06:10:41
68,69,True,스팀에서 평가 처음 달아보는데... 이겜 진짜 잼있다 ! 굿굿,2025-02-26 11:53:58
69,70,True,니가 사는거라면 나도 끼지,2025-02-26 05:00:02
71,72,False,"고인물 2명에서 저희 뉴비 4명을 5시간동안 팼습니다 완전히 에누리 없어버려요 이 게임 뉴비 보호를 안 해주고 이상한 필리핀 사람이랑 친해졌는데 그 사람이 안 도와줍니다,,,",2025-02-24 20:36:18
72,73,True,재밌어요 굿,2025-02-24 15:06:18
73,74,True,중국인한테 격침당햇어요,2025-02-24 02:22:19
74,75,False,진짜 스토리 깰떄 버그 ㅈㄴ많네 상자도 없어지고 인어도 없어지고 문은 왜 안 열리는지 시간만 날림 ㅈ같네,2025-02-23 22:20:03
75,76,True,게임 퀄리티도 좋고 게임 한번 하면 시간가는줄 모릅니다!!,2025-02-23 15:52:18
76,77,True,낭만 그 자체의 시대를 간접적으로 체험하시오,2025-02-23 13:57:52
77,78,True,재밌긴 한데 같이 할 친구 없으면 못함,2025-02-23 13:41:58
79,80,True,친구가 있음 재밌다 스토리 보는맛 좋음,2025-02-22 14:40:34
80,81,True,"해적게임. 여기서 '해적'이란 나 말고 날 털러오는 진짜 해적놈들이다. 그들은 아침 안개처럼 다가와 벼락처럼 내 머리를 내려치고 해일처럼 내 보물을 쓸어간다. 홀로 배송품을 옮기던 중에 해골로 가득한 유령선보다, 거대한 크라켄 보다 두려운 것은 스스로 대포에 포탄 대신 들어가서 커다란 대포소리 후 미친 까마귀처럼 소리 지르며 날아드는 '해적' 놈들이다. 이제보니 내 게임이 아니었네. 저 미친 놈들 게임이었네. 미친 세상... ※초보를 위한 다른 해적없는 개인해역이 생겼습니다. 이 겁쟁이의 쉼터 안에서라면 여러분이 주인공 입니다. 해적은 아니구요.. 암튼 아니세요..",2025-02-22 04:05:32
81,82,False,아니 시벌 게임이 시작이안돼요 해결법 아는분들 어떠한 세션도 찾을수없데 알려주새요,2025-02-20 14:41:39
83,84,False,개거지같은게임 하지마셈,2025-02-19 14:40:27
84,85,True,이 씨 ㅇ발 같이하자면서 갱생깅들 딴 겜으로 넘어감 아직 스토리도 다 못깼으면서,2025-02-19 14:35:05
85,86,False,고인물들이 판치는 게임 재미있는건 악기 연주하는거 뿐 결론 : 별 한개도 아깝다,2025-02-19 13:20:19
86,87,True,가격대비 오래 즐기고 하기 좋은게임입니다. 스토리 모드격인 허풍선 이야기만 해도 충분히 뽕 뽑습니다. 그외 각 사절 퀘스트 한번씩 해보면 100시간 까지 뚝딱 즐길 수 있습니다. 50% 이상 세일 때 사면 정말 싼가격에 오래 즐기실 수 있습니다.,2025-02-18 15:25:44
87,88,False,친구가 없어요,2025-02-18 03:37:06
88,89,True,난 솔직히 정가에 사도 괜찮다고 생각함. 게임 친절하고 컨셉 좋고 분량 많고 재밌음. ㅇㅇ 강추.,2025-02-17 19:27:38
89,90,True,왜 이거 같이 안해주냐고 해달라고,2025-02-17 10:27:46
90,91,True,같이 할 친구있으면 추천함,2025-02-16 23:14:37
91,92,False,좆병신 게임,2025-02-15 15:34:03
92,93,False,이 좆같은 게임 왜 나만 안들어가져 이미 존나 즐겨서 환불도 안되는데 씨발,2025-02-15 08:57:33
93,94,True,재밌는 게임이지만 아직 뽕을 뽑지 못하였다..,2025-02-12 18:23:55
95,96,False,10초마다 튕기네,2025-02-08 14:00:44
96,97,True,Captaaaaain!! Looooooook!!!! (Captain sliped off the ship two hours ago doing Titanic thing alone),2025-02-05 18:25:45
97,98,False,"이게 재미있냐고요? 네! 재밌습니다! 근데 왜 추천하지 않느냐! 오..이 아가씨가 설명해드리죠 여러분은 이제 막 해적이 된 터입니다. 크나큰 꿈을 안고 이곳저곳 약탈하고 보물을 털어 아주 행복하게 팔아치우려 뱃머리를 돌렸죠. 어라? 어디서 불길한 느낌과 함께 저 멀리 매우매우매우 화려한배가 보입니다. 그리고 그 배는 여러분들을 향해 돌진하고 있습니다. 예..여러분은 휘황찬란한 보물, 배, 그리고 다른 해적들의 패드립과 조롱을 안고 저 깊은 바다에 침수되었습니다. 그러니까 하지 마세요.",2025-02-05 17:34:19
99,100,True,친구가 없어서 혼자하신다구요? 그래도 재밌습니다! 친구가 있어서 같이하신다구요? 그러면 더더욱 재밌습니다! 지금 바로 다운로드 하세요!,2025-02-01 16:26:26
