index,recommend,content,datetime
2,True,zzzzzzzzzzzzzzz,2025-01-10 03:26:49
3,False,이 게임 밀덕 아니면 걍 하지마셈 재미도 감동도 눈물도 없는 지루한 배 전쟁 게임 ㅗㅗ,2023-11-12 04:31:25
5,True,ㄴ내가 왜 스팀계정으로 했지 ..연동이 안되.,2023-02-11 12:53:04
8,True,무료로해도 모자람이 없는 해상 액션 전투게임.,2022-11-15 02:57:21
10,True,느긋한 슬로우 라이프를 즐긴다면 강추~ 캐쉬로 빠른 랩업 플레이도 가능~,2022-08-27 11:51:51
11,True,팀워크 기반 전술적으로 할시 더욱 재미있습니다,2022-06-10 15:13:39
12,True,굉장히 많은 전함등 다양한 전술을 익히고 즐길수 있습니다. 추천 합니다...,2022-03-11 17:23:44
13,False,"WG 돈 ㅈㄹ 이나 밸런스문제, 불공평한 매칭 같은것 보다 진짜 빡치는게하는건 승률 40% 대 의 사람 아닌것들임",2021-12-24 10:19:50
16,True,조금 해봤는데 어렵네용,2021-11-14 14:37:15
18,True,입문 난이도 높음,2021-07-23 23:45:13
19,True,sdwsdwad,2020-12-06 02:00:19
20,False,게임도중 셧다운 VGA EVGA 2060 super,2020-11-05 13:45:22
21,True,노하우 공유가 좀 많앗으면 싶은데요... 지도 해석이랄지...,2020-08-09 02:03:19
22,True,저티어의 쉽이 매칭될 때 고티어 게임에 끌려가지 않도록 조정해 주십시요,2020-06-02 22:38:09
24,True,yftjlukgt,2020-01-07 07:28:59
25,False,게임이 무료 혹은 저렴하다고 해서 방심하지 마세요... 실재 게임을 진행하기 위해서는 다소 지출이 필요합니다.,2019-03-20 21:34:48
26,True,배박이게임,2019-03-08 15:23:59
