index,recommend,content,datetime
39,False,깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고깨지지말라고,2025-07-12 20:43:51
40,True,003210032032023030320231651610230,2025-07-12 15:52:03
41,True,"깽그랑!
-2500$",2025-07-12 15:44:58
42,True,d,2025-07-12 14:52:43
43,True,"와장창
쨍그랑
아시발",2025-07-12 13:55:41
44,True,"공포게임 주제에 캐릭터가 귀여워서 친구 보고 힐링되는 게임
강해지면 배틀물 됨
공포게임 중에선 제일 오래 했음... 재밌음...",2025-07-12 11:59:48
45,True,날개달고 점프달고 나는건 좋은데 다 떨어지는게 몇번째야!!,2025-07-12 10:00:33
46,True,개꿀잼 퍼드셈,2025-07-12 07:55:51
47,True,재미가 있었다~,2025-07-12 05:46:50
48,True,몹 증가 패치후론 솔플이 막힌수준으로 빡세졌습니다 3스테에서 8마리가 입구막네요,2025-07-12 02:26:10
